firstname,lastname,username,department,password,ou
Adrianna,Mathew,amathew3008,Dermatology,liverpool,"OU=ecpi_medical,DC=hackerz,DC=local"
Laraine,Buras,lburas3009,Dermatology,alexandra,"OU=ecpi_medical,DC=hackerz,DC=local"
Maxwell,Burleson,mburleson3012,Neurology,tinkerbell,"OU=ecpi_medical,DC=hackerz,DC=local"
Ambrose,Scheidt,ascheidt3019,Oncology,peanut,"OU=ecpi_medical,DC=hackerz,DC=local"
Cherry,Willer,cwiller3027,Pediatrics,victoria,"OU=ecpi_medical,DC=hackerz,DC=local"
Marx,Ebbert,mebbert3028,Pediatrics,november,"OU=ecpi_medical,DC=hackerz,DC=local"
Ashton,Tate,atate3031,Pediatrics,gabriela,"OU=ecpi_medical,DC=hackerz,DC=local"
Ali,Vo,avo3033,Urology,precious,"OU=ecpi_medical,DC=hackerz,DC=local"
Trish,McKnight,tmcknight5004,Anesthesiology,francis,"OU=ecpi_medical,DC=hackerz,DC=local"
Heather,Degner,hdegner5005,Anesthesiology,teddybear,"OU=ecpi_medical,DC=hackerz,DC=local"
Cheryl,Zaremba,czaremba5012,Records,linkinpark,"OU=ecpi_medical,DC=hackerz,DC=local"
Tosha,Bartz,tbartz5013,Scheduling,martinez,"OU=ecpi_medical,DC=hackerz,DC=local"
Aaron,Seidel,aseidel5019,Facilities,simpsons,"OU=ecpi_medical,DC=hackerz,DC=local"
Lenny,Miller,lmiller5022,Facilities,147852369,"OU=ecpi_medical,DC=hackerz,DC=local"
Myles,Odell,modell5023,Facilities,bulldogs,"OU=ecpi_medical,DC=hackerz,DC=local"
